"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"PE","PER","Peru","Perú","SA","South America","03100","03100","","Apurímac","Apurimac","PE-APU","","Abancay","","Curahuasi","","","","",-13.6389,-72.6181,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03100","03100","","Apurímac","Apurimac","PE-APU","","Abancay","","Curahuasi","","","","",-13.6389,-72.6181,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03100","03100","","Apurímac","Apurimac","PE-APU","","Abancay","","Curahuasi","","","","",-13.6389,-72.6181,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03110","03110","","Apurímac","Apurimac","PE-APU","","Abancay","","San Pedro De Cachora","","","","",-13.4888,-72.814,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03110","03110","","Apurímac","Apurimac","PE-APU","","Abancay","","San Pedro De Cachora","","","","",-13.4888,-72.814,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03120","03120","","Apurímac","Apurimac","PE-APU","","Abancay","","Huanipaca","","","","",-13.4761,-72.9753,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03120","03120","","Apurímac","Apurimac","PE-APU","","Abancay","","Huanipaca","","","","",-13.4761,-72.9753,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03300","03300","","Apurímac","Apurimac","PE-APU","","Abancay","","Lambrama","","","","",-13.804,-72.7881,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03300","03300","","Apurímac","Apurimac","PE-APU","","Abancay","","Lambrama","","","","",-13.804,-72.7881,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03305","03305","","Apurímac","Apurimac","PE-APU","","Abancay","","Circa","","","","",-13.9742,-72.8915,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03305","03305","","Apurímac","Apurimac","PE-APU","","Abancay","","Circa","","","","",-13.9742,-72.8915,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03305","03305","","Apurímac","Apurimac","PE-APU","","Abancay","","Circa","","","","",-13.9742,-72.8915,"America/Lima","UTC-5"
"PE","PER","Peru","Perú","SA","South America","03305","03305","","Apurímac","Apurimac","PE-APU","","Abancay","","Circa","","","","",-13.9742,-72.8915,"America/Lima","UTC-5"
